1862822,30254,bluegill hepadnavirus,VHostDB
1592573,58267,micropterus salmoides reovirus
1390989,78092,pelates quadrilineatus ranavirus
1246481,94085,micropterus salmoides betanodavirus
1223302,96948,bluegill picornavirus,VHostDB
670572,142062,oplegnathus punctatus iridovirus
670550,142083,terapon theraps nervous necrosis virus
670540,142093,oplegnathus punctatus nervous necrosis virus
670539,142094,microcanthus strigatus nervous necrosis virus
373862,174108,siniperca chuatsi rhabdovirus,VHostDB
180170,184597,infectious spleen and kidney necrosis virus,VHostDB
116096,186918,siniperca chuatsi virus
