2025812,7871,clostridium phage cp3
1983541,13189,clostridium phage cps1
1927016,20407,clostridium phage clo-pep-1
1874333,28558,clostridium phage hm2
1868595,28908,clostridium phage cdkm15
1868594,28909,clostridium phage cdkm9
1779843,36215,clostridium phage hm t
1755693,39045,clostridium phage cdsh1
1574218,60896,clostridium phage phicdhs1
1574217,60897,clostridium phage phicdhm6
1574216,60898,clostridium phage phicdhm5
1574215,60899,clostridium phage phicdhm4
1574214,60900,clostridium phage phicdhm3
1574213,60901,clostridium phage phicdhm2
1567016,61450,clostridium phage phictc2b,VHostDB
1567015,61451,clostridium phage phictc2a,VHostDB
1567014,61452,clostridium phage phict9441a,VHostDB
1567013,61453,clostridium phage phict453b,VHostDB
1567012,61454,clostridium phage phict453a,VHostDB
1567011,61455,clostridium phage phict19406c,VHostDB
1567010,61456,clostridium phage phict19406b,VHostDB
1567009,61457,clostridium phage phict19406a,VHostDB
1522092,64871,clostridium phage phicdhm19,VHostDB
1522091,64872,clostridium phage phicdhm14,VHostDB
1445553,73387,clostridium phage phicdhm11,VHostDB
1305708,87162,clostridium phage vb_cpes-cp51,VHostDB
1283341,90417,clostridium phage phicd119 usa/govind/2006
1187894,101473,clostridium phage phis63,VHostDB
1162306,103519,clostridium phage phizp2,VHostDB
1162305,103520,clostridium phage phicpv4,VHostDB
1162304,103521,clostridium phage phicp7r,VHostDB
1147137,104941,clostridium phage phi8074-b1,VHostDB
1128071,107470,clostridium phage phi24r,VHostDB
1042124,115060,clostridium phage phicp9o,VHostDB
1042123,115061,clostridium phage phicp34o,VHostDB
1042122,115062,clostridium phage phicp13o,VHostDB
926066,123034,clostridium phage cpv1
871584,127323,clostridium phage phictp1,VHostDB
673376,141823,clostridium phage phicp26f,VHostDB
658056,144029,clostridium phage d-1873
541865,153447,clostridium phage phicp39-o,VHostDB
396359,171781,clostridium phage phism101,VHostDB
190478,184194,clostridium phage phi3626,VHostDB
126970,186715,clostridium limosum phage
70695,188003,clostridium botulinum phage d-sa
35348,189325,clostridium botulinum phage 1c
29342,189716,clostridium botulinum d phage
12409,189878,clostridium phage d-16 phi
12336,189911,clostridium phage c-st,VHostDB
