2116153,829,wenling perciformes astrovirus 2
2107207,960,smallmouth bass virus
2083440,1088,japanese sea bass iridovirus
1885633,26909,largemouth bass reovirus
1162553,103516,largemouth bass virus - snakehead
707878,136387,largemouth bass ulcerative syndrome virus
683178,140057,sea bass iberian betanodavirus
464937,163850,australian bass nervous necrosis virus
278183,180646,sea bass iridovirus-k
176656,184727,largemouth bass virus
127568,186696,sea bass iridovirus
56095,188566,striped bass reovirus
