2079598,1160,penguin megrivirus
2045113,4762,pygoscelis adeliae papillomavirus 2
2006074,11254,antarctic penguin virus c
2006073,11255,antarctic penguin virus b
2006072,11256,antarctic penguin virus a
2005055,11519,penguin siadenovirus a
1891750,26689,pygoscelis adeliae polyomavirus 1
1884826,27127,spheniscus humboldti poxvirus
1770252,37230,penguin herpesvirus 2
1615847,50937,penguin herpesvirus 1
1590650,58499,adelie penguin polyomavirus,VHostDB
1480065,69170,pygoscelis adeliae papillomavirus 1,VHostDB
1434094,74177,chinstrap penguin adenovirus 8
1434093,74178,chinstrap penguin adenovirus 7
1434092,74179,chinstrap penguin adenovirus 6
1434091,74180,chinstrap penguin adenovirus 5
1434090,74181,chinstrap penguin adenovirus 4
1434089,74182,chinstrap penguin adenovirus 3
1434088,74183,chinstrap penguin adenovirus 2
1434087,74184,chinstrap penguin adenovirus 1
862945,128204,avian paramyxovirus penguin/falkland islands/324/2007,VHostDB
648998,145620,penguinpox virus,VHostDB
10535,191179,unidentified adenovirus,VHostDB
